hex,lat,lon,time
a581c8,21.984467,-159.341359,1696118400.016
a58103,21.979465,-159.341049,1696118400.016
~30056a,21.321507,-157.94782,1696118400.016
~300f97,21.310318,-157.945758,1696118400.016
a1dcb4,21.310195,-157.945735,1696118400.016
a46ad6,21.307755,-157.945683,1696118400.016
~300a66,21.326825,-157.945112,1696118400.016
~30010a,21.3265,-157.944734,1696118400.016
~30080e,21.327012,-157.943675,1696118400.016
a4c2f8,21.328903,-157.924597,1696118400.016
a46e8d,21.327003,-157.92406,1696118400.016
~3004b7,21.327599,-157.923685,1696118400.016
a3f323,21.318795,-157.922757,1696118400.016
abe27e,21.326022,-157.92188,1696118400.016
~300ed2,21.326099,-157.921575,1696118400.016
~300f62,21.326443,-157.921039,1696118400.016
~3003f2,21.32777,-157.919952,1696118400.016
86dd4c,21.327803,-157.919922,1696118400.016
a6bfa6,21.330177,-157.917849,1696118400.016
a76a3a,21.319656,-157.914821,1696118400.016
a61bed,19.741419,-156.042813,1696118400.016
a4ee2e,19.737311,-156.041964,1696118400.016
a999df,61.18733,-150.010656,1696118400.016
aba7d9,61.190483,-150.003229,1696118400.016
a75659,61.189865,-150.003021,1696118400.016
abc948,61.188576,-150.002136,1696118400.016
a9876e,61.183216,-150.001782,1696118400.016
abaf47,61.189902,-149.999212,1696118400.016
a06a12,61.197432,-149.998296,1696118400.016
a5a24f,61.168104,-149.997203,1696118400.016
aa7fa1,61.171223,-149.996632,1696118400.016
ac54b1,61.191387,-149.996384,1696118400.016
a8881e,61.177197,-149.985719,1696118400.016
a9dace,61.213509,-149.840273,1696118400.016
3a46ae,-17.489834,-149.763885,1696118400.016
a1a76f,44.365471,-123.277653,1696118400.016
~c1e5bf,49.187302,-123.208466,1696118400.016
c1e5bf,49.18729,-123.208395,1696118400.016
c05605,49.198837,-123.190962,1696118400.016
c1e5b0,49.201046,-123.188218,1696118400.016
7580ef,49.199421,-123.185384,1696118400.016
c03bf1,49.203085,-123.18368,1696118400.016
a5fde4,45.544824,-122.95108,1696118400.016
aa2b90,45.544929,-122.950041,1696118400.016
a10e73,45.53904,-122.949807,1696118400.016
a0675f,45.533661,-122.946706,1696118400.016
a87de9,45.534645,-122.946396,1696118400.016
ac84e7,45.534027,-122.945954,1696118400.016
a85e74,45.533268,-122.945469,1696118400.016
a862d7,46.97493,-122.898474,1696118400.016
a3ad14,42.363945,-122.869112,1696118400.016
a443f8,38.514301,-122.810982,1696118400.016
aaf927,45.501056,-122.689061,1696118400.016
~57c7d7,45.582253,-122.603202,1696118400.016
~57c001,45.58255,-122.602984,1696118400.016
ab4f5d,45.590457,-122.599113,1696118400.016
a842a9,45.590595,-122.59729,1696118400.016
a22839,45.588897,-122.588179,1696118400.016
abb5e2,45.588776,-122.587693,1696118400.016
~5788e2,37.630749,-122.393744,1696118400.016
abff87,37.619631,-122.392084,1696118400.016
a2cb32,37.616652,-122.391994,1696118400.016
~578764,37.621925,-122.390296,1696118400.016
~578895,37.621925,-122.390179,1696118400.016
896523,37.612428,-122.387949,1696118400.016
4952a4,37.621754,-122.386979,1696118400.016
a1226e,37.610321,-122.38668,1696118400.016
a7d43c,37.619899,-122.386113,1696118400.016
a9d626,37.621696,-122.385095,1696118400.016
~5787fd,37.606806,-122.384859,1696118400.016
~578971,37.606585,-122.384202,1696118400.016
a0a457,37.60849,-122.383941,1696118400.016
addadb,37.613422,-122.383678,1696118400.016
a33243,37.614406,-122.382754,1696118400.016
406948,37.606373,-122.382611,1696118400.016
~5788b5,37.625788,-122.382411,1696118400.016
~578644,37.625788,-122.382411,1696118400.016
a326d1,37.611362,-122.382231,1696118400.016
c043b7,37.618444,-122.382157,1696118400.016
a81f83,37.613674,-122.381618,1696118400.016
~578979,37.625555,-122.381516,1696118400.016
a09e47,37.618618,-122.379982,1696118400.016
a99ef0,37.605686,-122.378988,1696118400.016
a4e7f8,37.618034,-122.364159,1696118400.016
394a01,37.611259,-122.36207,1696118400.016
a262ad,47.460123,-122.312921,1696118400.016
a5e29a,47.455055,-122.309778,1696118400.016
a8a82f,47.446243,-122.30892,1696118400.016
7815c8,47.531284,-122.30674,1696118400.016
a65598,47.442037,-122.306337,1696118400.016
a0fa8b,47.537888,-122.305813,1696118400.016
a4c6b3,47.433735,-122.305624,1696118400.016
a89d0a,47.444865,-122.305421,1696118400.016
a8af9d,47.446438,-122.305401,1696118400.016
ab8b56,47.439915,-122.304869,1696118400.016
a4cfb7,47.444046,-122.304731,1696118400.016
a871d4,47.445408,-122.304714,1696118400.016
a74fd8,47.537865,-122.30468,1696118400.016
a0757f,47.441631,-122.304474,1696118400.016
a0541b,47.440873,-122.304365,1696118400.016
ad4744,47.449207,-122.304285,1696118400.016
ac3f9c,47.437324,-122.302675,1696118400.016
a2cfa2,47.440487,-122.302139,1696118400.016
a70333,47.446576,-122.301671,1696118400.016
a445f8,47.440967,-122.301196,1696118400.016
a7d2e6,47.460775,-122.300861,1696118400.016
a2e9a3,47.438069,-122.299769,1696118400.016
a2280b,47.528357,-122.298291,1696118400.016
a017a5,47.438069,-122.297498,1696118400.016
aa3aac,47.526879,-122.297252,1696118400.016
ac4304,47.326939,-122.226145,1696118400.016
aca3a3,37.737339,-122.21935,1696118400.016
ad4328,47.497822,-122.218214,1696118400.016
ac94d5,47.496265,-122.217991,1696118400.016
aa9fe3,37.718427,-122.217064,1696118400.016
a61987,37.709873,-122.212732,1696118400.016
a41615,48.156509,-122.161875,1696118400.016
a886f6,37.66239,-122.122143,1696118400.016
abbdfe,37.463585,-122.117639,1696118400.016
a4df4f,37.454464,-122.114571,1696118400.016
a5b244,37.454659,-122.11311,1696118400.016
a9d238,37.457478,-122.112485,1696118400.016
ad71c2,47.907432,-122.102614,1696118400.016
abaabc,37.982975,-122.052292,1696118400.016
a101f9,37.363711,-121.936599,1696118400.016
a01efd,37.361755,-121.934538,1696118400.016
ab5f87,37.369925,-121.933211,1696118400.016
a81bc4,38.261226,-121.932046,1696118400.016
aaa6ae,37.364781,-121.926404,1696118400.016
a61d3e,37.363724,-121.923988,1696118400.016
a280fe,37.362328,-121.922603,1696118400.016
a4dd35,37.35387,-121.91445,1696118400.016
a175ff,36.589256,-121.858555,1696118400.016
a1110b,36.589348,-121.857719,1696118400.016
a32be6,36.588879,-121.853771,1696118400.016
a6f831,37.694584,-121.82431,1696118400.016
aa9e28,38.690586,-121.600023,1696118400.016
a4d97e,38.695198,-121.591476,1696118400.016
a0ddfb,38.693344,-121.586693,1696118400.016
a02681,38.692554,-121.586649,1696118400.016
acc718,38.570215,-121.469401,1696118400.016
abfa36,38.563618,-121.295303,1696118400.016
a1334b,44.24817,-121.140027,1696118400.016
a8372b,44.248009,-121.13957,1696118400.016
a91fcf,44.248042,-121.139324,1696118400.016
a5f396,44.248158,-121.139178,1696118400.016
a2625c,38.374977,-120.79686,1696118400.016
ab184d,34.423988,-119.836765,1696118400.016
c009be,49.96468,-119.381042,1696118400.016
a9ed87,46.263485,-119.105798,1696118400.016
a0e14d,35.428581,-119.053359,1696118400.016
a4c735,34.218624,-118.489483,1696118400.016
aaf47b,34.200233,-118.488053,1696118400.016
a15ea6,34.205864,-118.487493,1696118400.016
7c4926,33.940026,-118.430514,1696118400.016
aac762,33.944914,-118.423676,1696118400.016
a03fff,33.937843,-118.423186,1696118400.016
a82adf,33.946509,-118.418641,1696118400.016
a7d82a,33.946381,-118.417826,1696118400.016
485e2e,33.946815,-118.415773,1696118400.016
a64ab2,33.943215,-118.413305,1696118400.016
0d094c,33.939388,-118.411752,1696118400.016
ab5c69,33.947216,-118.411724,1696118400.016
a53052,33.947731,-118.411002,1696118400.016
a883bd,33.937786,-118.409958,1696118400.016
a98cbc,33.942237,-118.409457,1696118400.016
0c20f2,33.945322,-118.408999,1696118400.016
86d266,33.938257,-118.407297,1696118400.016
a4dd9d,33.948161,-118.406754,1696118400.016
a0103b,33.946358,-118.406609,1696118400.016
ad9bc8,33.941116,-118.406455,1696118400.016
8964b6,33.948627,-118.406453,1696118400.016
a9e6df,33.940704,-118.406314,1696118400.016
a6d234,33.946811,-118.405938,1696118400.016
a4e6c0,33.941597,-118.404955,1696118400.016
a4bb8a,33.941178,-118.404908,1696118400.016
ab674b,33.940864,-118.404837,1696118400.016
a09188,33.941677,-118.4041,1696118400.016
a776b2,33.939857,-118.40396,1696118400.016
a8b964,33.94183,-118.402777,1696118400.016
a13c43,33.941446,-118.402719,1696118400.016
ac3ee9,33.946974,-118.402519,1696118400.016
abc40d,33.946896,-118.40176,1696118400.016
aaa2f6,33.949448,-118.399378,1696118400.016
48ae04,33.939331,-118.394782,1696118400.016
600b24,33.937271,-118.383725,1696118400.016
